ID	Lattitude	Longitude	Elevation	Bio_1_T_annual_mean	Bio_2_T_diurnal_range_mean	Bio_3_T_isothermality	Bio_4_T_seasonality	Bio_5_T_warmest_month_max	Bio_6_T_coldest_month_min	Bio_7_T_annual_range	Bio_8_T_wettest_quarter_mean	Bio_9_T_driest_quarter_mean	Bio_10_T_warmest_quarter_mean	Bio_11_T_coldest_quarter_mean	Bio_12_P_annual	Bio_13_P_wettest_month	Bio_14_P_driest_month	Bio_15_P_seasonality	Bio_16_P_wettest_quarter	Bio_17_P_driest_quarter	Bio_18_P_warmest_quarter	Bio_19_P_coldest_quarter	Cat.Lat_Long
Bar3	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
Bar5	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
Bar6	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
Bar9	42.04063	0.14636	379	129	107	38	5979	282	4	278	153	52	206	52	501	61	27	23	156	96	116	96	42.04063_0.14636
Bd.D.2.R4	40.23333	37.91667	465	96	111	35	6898	258	-53	311	88	179	179	3	552	73	10	43	198	46	67	163	40.23333_37.91667
Bd1.1_R1	39.19095556	27.60794167	140.5	154	119	38	7117	328	16	312	66	246	246	66	651	126	8	68	314	34	34	314	39.19095556_27.60794167
Bd1.1_R2	39.19095556	27.60794167	140.5	154	119	38	7117	328	16	312	66	246	246	66	651	126	8	68	314	34	34	314	39.19095556_27.60794167
Bd11	29.620923	51.625957	821.7	218	128	34	8976	416	42	374	129	259	333	101	254	62	0	106	164	0	1	158	29.620923_51.625957
Bd12	31.697793	48.806763	25.9	255	155	39	8725	464	71	393	138	361	361	138	296	69	0	100	175	0	0	175	31.697793_48.806763
Bd12.12	31.697793	48.806763	25.9	255	155	39	8725	464	71	393	138	361	361	138	296	69	0	100	175	0	0	175	31.697793_48.806763
Bd12.17	31.697793	48.806763	25.9	255	155	39	8725	464	71	393	138	361	361	138	296	69	0	100	175	0	0	175	31.697793_48.806763
Bd12.6	31.697793	48.806763	25.9	255	155	39	8725	464	71	393	138	361	361	138	296	69	0	100	175	0	0	175	31.697793_48.806763
Bd13.1	31.552793	35.105438	986.4	160	114	44	5312	296	42	254	89	222	222	89	512	125	0	109	325	0	0	325	31.552793_35.105438
Bd13.16	31.552793	35.105438	986.4	160	114	44	5312	296	42	254	89	222	222	89	512	125	0	109	325	0	0	325	31.552793_35.105438
Bd13.17	31.552793	35.105438	986.4	160	114	44	5312	296	42	254	89	222	222	89	512	125	0	109	325	0	0	325	31.552793_35.105438
